game_id,inning,team,true_outcome,anything_else,true_outcome_result,var,value
ANA201704070,1,0,6.0,2,4.0,visteam,SEA
ANA201704070,2,0,0.0,3,-3.0,visteam,SEA
ANA201704070,3,0,2.0,3,-1.0,visteam,SEA
ANA201704070,4,0,4.0,1,3.0,visteam,SEA
ANA201704070,5,0,2.0,2,0.0,visteam,SEA
ANA201704070,6,0,2.0,5,-3.0,visteam,SEA
ANA201704070,7,0,4.0,3,1.0,visteam,SEA
ANA201704070,8,0,2.0,2,0.0,visteam,SEA
ANA201704070,9,0,2.0,4,-2.0,visteam,SEA
ANA201704070,1,1,0.0,5,-5.0,hometeam,ANA
ANA201704070,2,1,2.0,2,0.0,hometeam,ANA
ANA201704070,3,1,6.0,4,2.0,hometeam,ANA
ANA201704070,4,1,4.0,3,1.0,hometeam,ANA
ANA201704070,5,1,0.0,3,-3.0,hometeam,ANA
ANA201704070,6,1,4.0,2,2.0,hometeam,ANA
ANA201704070,7,1,4.0,3,1.0,hometeam,ANA
ANA201704070,8,1,2.0,3,-1.0,hometeam,ANA
ANA201704080,1,0,2.0,4,-2.0,visteam,SEA
ANA201704080,2,0,0.0,3,-3.0,visteam,SEA
ANA201704080,3,0,0.0,3,-3.0,visteam,SEA
ANA201704080,4,0,2.0,2,0.0,visteam,SEA
ANA201704080,5,0,4.0,3,1.0,visteam,SEA
ANA201704080,6,0,2.0,2,0.0,visteam,SEA
ANA201704080,7,0,0.0,5,-5.0,visteam,SEA
ANA201704080,8,0,2.0,4,-2.0,visteam,SEA
ANA201704080,9,0,6.0,0,6.0,visteam,SEA
ANA201704080,1,1,2.0,2,0.0,hometeam,ANA
ANA201704080,2,1,2.0,5,-3.0,hometeam,ANA
ANA201704080,3,1,4.0,5,-1.0,hometeam,ANA
ANA201704080,4,1,0.0,4,-4.0,hometeam,ANA
ANA201704080,5,1,4.0,3,1.0,hometeam,ANA
ANA201704080,6,1,4.0,2,2.0,hometeam,ANA
ANA201704080,7,1,2.0,4,-2.0,hometeam,ANA
ANA201704080,8,1,4.0,2,2.0,hometeam,ANA
ANA201704090,1,0,2.0,5,-3.0,visteam,SEA
ANA201704090,2,0,0.0,3,-3.0,visteam,SEA
ANA201704090,3,0,4.0,4,0.0,visteam,SEA
ANA201704090,4,0,0.0,4,-4.0,visteam,SEA
ANA201704090,5,0,6.0,5,1.0,visteam,SEA
ANA201704090,6,0,2.0,2,0.0,visteam,SEA
ANA201704090,7,0,4.0,2,2.0,visteam,SEA
ANA201704090,8,0,2.0,4,-2.0,visteam,SEA
ANA201704090,9,0,2.0,2,0.0,visteam,SEA
ANA201704090,1,1,2.0,3,-1.0,hometeam,ANA
ANA201704090,2,1,4.0,2,2.0,hometeam,ANA
ANA201704090,3,1,4.0,2,2.0,hometeam,ANA
ANA201704090,4,1,2.0,2,0.0,hometeam,ANA
ANA201704090,5,1,0.0,3,-3.0,hometeam,ANA
ANA201704090,6,1,2.0,4,-2.0,hometeam,ANA
ANA201704090,7,1,2.0,4,-2.0,hometeam,ANA
ANA201704090,8,1,2.0,2,0.0,hometeam,ANA
ANA201704090,9,1,14.0,5,9.0,hometeam,ANA
ANA201704110,1,0,2.0,4,-2.0,visteam,TEX
ANA201704110,2,0,8.0,1,7.0,visteam,TEX
ANA201704110,3,0,6.0,4,2.0,visteam,TEX
ANA201704110,4,0,4.0,1,3.0,visteam,TEX
ANA201704110,5,0,0.0,4,-4.0,visteam,TEX
ANA201704110,6,0,2.0,3,-1.0,visteam,TEX
ANA201704110,7,0,2.0,4,-2.0,visteam,TEX
ANA201704110,8,0,2.0,2,0.0,visteam,TEX
ANA201704110,9,0,2.0,2,0.0,visteam,TEX
ANA201704110,10,0,0.0,4,-4.0,visteam,TEX
ANA201704110,1,1,6.0,3,3.0,hometeam,ANA
ANA201704110,2,1,2.0,4,-2.0,hometeam,ANA
ANA201704110,3,1,4.0,1,3.0,hometeam,ANA
ANA201704110,4,1,4.0,2,2.0,hometeam,ANA
ANA201704110,5,1,2.0,3,-1.0,hometeam,ANA
ANA201704110,6,1,2.0,2,0.0,hometeam,ANA
ANA201704110,7,1,2.0,4,-2.0,hometeam,ANA
