game_id_,value_hometeam,value_visteam,true_outcome_result_hometeam,true_outcome_result_visteam,true_outcome_result,match_up,str_date,fmt_date,days_since_season_start
ANA201704070,ANA,SEA,-3.0,-1.0,-4.0,ANA vs. SEA,20170407,2017-04-07,5 days 00:00:00.000000000
ANA201704080,ANA,SEA,-5.0,-8.0,-13.0,ANA vs. SEA,20170408,2017-04-08,6 days 00:00:00.000000000
ANA201704090,ANA,SEA,5.0,-9.0,-4.0,ANA vs. SEA,20170409,2017-04-09,7 days 00:00:00.000000000
ANA201704110,ANA,TEX,-4.0,-1.0,-5.0,ANA vs. TEX,20170411,2017-04-11,9 days 00:00:00.000000000
ANA201704120,ANA,TEX,-8.0,6.0,-2.0,ANA vs. TEX,20170412,2017-04-12,10 days 00:00:00.000000000
ANA201704130,ANA,TEX,6.0,-10.0,-4.0,ANA vs. TEX,20170413,2017-04-13,11 days 00:00:00.000000000
ANA201704210,ANA,TOR,-1.0,15.0,14.0,ANA vs. TOR,20170421,2017-04-21,19 days 00:00:00.000000000
ANA201704220,ANA,TOR,-12.0,-5.0,-17.0,ANA vs. TOR,20170422,2017-04-22,20 days 00:00:00.000000000
ANA201704230,ANA,TOR,-13.0,12.0,-1.0,ANA vs. TOR,20170423,2017-04-23,21 days 00:00:00.000000000
ANA201704240,ANA,TOR,-4.0,5.0,1.0,ANA vs. TOR,20170424,2017-04-24,22 days 00:00:00.000000000
ANA201704250,ANA,OAK,-7.0,5.0,-2.0,ANA vs. OAK,20170425,2017-04-25,23 days 00:00:00.000000000
ANA201704260,ANA,OAK,-9.0,13.0,4.0,ANA vs. OAK,20170426,2017-04-26,24 days 00:00:00.000000000
ANA201704270,ANA,OAK,-20.0,-1.0,-21.0,ANA vs. OAK,20170427,2017-04-27,25 days 00:00:00.000000000
ANA201705050,ANA,HOU,-10.0,-12.0,-22.0,ANA vs. HOU,20170505,2017-05-05,33 days 00:00:00.000000000
ANA201705060,ANA,HOU,-6.0,-11.0,-17.0,ANA vs. HOU,20170506,2017-05-06,34 days 00:00:00.000000000
ANA201705070,ANA,HOU,7.0,-4.0,3.0,ANA vs. HOU,20170507,2017-05-07,35 days 00:00:00.000000000
ANA201705110,ANA,DET,1.0,-1.0,0.0,ANA vs. DET,20170511,2017-05-11,39 days 00:00:00.000000000
ANA201705120,ANA,DET,-11.0,-2.0,-13.0,ANA vs. DET,20170512,2017-05-12,40 days 00:00:00.000000000
ANA201705130,ANA,DET,0.0,11.0,11.0,ANA vs. DET,20170513,2017-05-13,41 days 00:00:00.000000000
ANA201705140,ANA,DET,14.0,3.0,17.0,ANA vs. DET,20170514,2017-05-14,42 days 00:00:00.000000000
ANA201705150,ANA,CHA,2.0,-4.0,-2.0,ANA vs. CHA,20170515,2017-05-15,43 days 00:00:00.000000000
ANA201705160,ANA,CHA,-15.0,-16.0,-31.0,ANA vs. CHA,20170516,2017-05-16,44 days 00:00:00.000000000
ANA201705170,ANA,CHA,-8.0,8.0,0.0,ANA vs. CHA,20170517,2017-05-17,45 days 00:00:00.000000000
ANA201705290,ANA,ATL,1.0,3.0,4.0,ANA vs. ATL,20170529,2017-05-29,57 days 00:00:00.000000000
ANA201705300,ANA,ATL,-9.0,-3.0,-12.0,ANA vs. ATL,20170530,2017-05-30,58 days 00:00:00.000000000
ANA201705310,ANA,ATL,-11.0,-12.0,-23.0,ANA vs. ATL,20170531,2017-05-31,59 days 00:00:00.000000000
ANA201706010,ANA,MIN,-1.0,0.0,-1.0,ANA vs. MIN,20170601,2017-06-01,60 days 00:00:00.000000000
ANA201706020,ANA,MIN,-4.0,-6.0,-10.0,ANA vs. MIN,20170602,2017-06-02,61 days 00:00:00.000000000
