game_id,order,stat,player_id
ANA201704070,0,BB,seguj002
ANA201704070,1,K,hanim001
ANA201704070,4,K,cruzn002
ANA201704070,5,1B,escoy001
ANA201704070,5,H,escoy001
ANA201704070,6,DGR,calhk001
ANA201704070,6,H,calhk001
ANA201704070,7,SF,troum001
ANA201704070,13,K,maybc001
ANA201704070,16,1B,zunim001
ANA201704070,16,H,zunim001
ANA201704070,18,K,seguj002
ANA201704070,20,1B,maldm001
ANA201704070,20,H,maldm001
ANA201704070,21,1B,escoy001
ANA201704070,21,H,escoy001
ANA201704070,22,K,calhk001
ANA201704070,23,IBB,troum001
ANA201704070,25,K,cronc002
ANA201704070,27,K,canor001
ANA201704070,29,K,seagk001
ANA201704070,31,BB,espid001
ANA201704070,32,1B,maldm001
ANA201704070,32,H,maldm001
ANA201704070,34,K,calhk001
ANA201704070,37,K,zunim001
ANA201704070,38,1B,troum001
ANA201704070,38,H,troum001
ANA201704070,43,1B,hanim001
ANA201704070,43,H,hanim001
ANA201704070,44,1B,canor001
ANA201704070,44,H,canor001
ANA201704070,45,1B,cruzn002
ANA201704070,45,H,cruzn002
ANA201704070,47,K,seagk001
ANA201704070,48,HR,maybc001
ANA201704070,48,H,maybc001
ANA201704070,48,R,maybc001
ANA201704070,49,1B,simma001
ANA201704070,49,H,simma001
ANA201704070,51,GDP,espid001
ANA201704070,52,K,maldm001
ANA201704070,54,1B,valed001
ANA201704070,54,H,valed001
ANA201704070,55,HBP,dysoj001
ANA201704070,56,K,zunim001
ANA201704070,59,1B,escoy001
ANA201704070,59,H,escoy001
ANA201704070,60,HR,calhk001
ANA201704070,60,H,calhk001
ANA201704070,60,R,calhk001
ANA201704070,63,K,cronc002
ANA201704070,67,K,cruzn002
ANA201704070,70,1B,simma001
ANA201704070,70,H,simma001
ANA201704070,71,K,espid001
ANA201704070,72,K,maldm001
ANA201704070,76,K,dysoj001
ANA201704080,0,1B,seguj002
ANA201704080,0,H,seguj002
ANA201704080,1,HR,hanim001
ANA201704080,1,H,hanim001
ANA201704080,1,R,hanim001
ANA201704080,7,K,troum001
ANA201704080,11,2B,pujoa001
ANA201704080,11,H,pujoa001
ANA201704080,13,1B,maybc001
ANA201704080,13,H,maybc001
ANA201704080,14,K,martj007
ANA201704080,15,1B,espid001
ANA201704080,15,H,espid001
ANA201704080,18,1B,seguj002
ANA201704080,18,H,seguj002
ANA201704080,20,2B,escoy001
ANA201704080,20,H,escoy001
ANA201704080,22,1B,calhk001
ANA201704080,22,H,calhk001
ANA201704080,23,K,troum001
ANA201704080,25,1B,simma001
ANA201704080,25,H,simma001
ANA201704080,28,K,cruzn002
ANA201704080,32,1B,maldm001
ANA201704080,32,H,maldm001
ANA201704080,34,2B,valed001
ANA201704080,34,H,valed001
ANA201704080,36,K,zunim001
ANA201704080,37,BB,dysoj001
ANA201704080,39,HR,escoy001
ANA201704080,39,H,escoy001
ANA201704080,39,R,escoy001
ANA201704080,40,K,calhk001
ANA201704080,42,1B,pujoa001
ANA201704080,42,H,pujoa001
ANA201704080,46,K,cruzn002
ANA201704080,47,K,maybc001
ANA201704080,48,1B,martj007
ANA201704080,48,H,martj007
ANA201704080,49,K,espid001
ANA201704080,52,2B,seagk001
ANA201704080,52,H,seagk001
ANA201704080,55,1B,zunim001
ANA201704080,55,H,zunim001
ANA201704080,58,1B,escoy001
ANA201704080,58,H,escoy001
ANA201704080,60,HR,troum001
ANA201704080,60,H,troum001
ANA201704080,60,R,troum001
ANA201704080,61,1B,pujoa001
ANA201704080,61,H,pujoa001
ANA201704080,62,GDP,simma001
ANA201704080,63,1B,seguj002
ANA201704080,63,H,seguj002
ANA201704080,64,K,hanim001
ANA201704080,66,1B,canor001
ANA201704080,66,H,canor001
ANA201704080,67,SF,cruzn002
ANA201704080,68,K,seagk001
ANA201704080,71,BB,martj007
ANA201704080,72,K,espid001
ANA201704080,74,K,valed001
ANA201704080,75,K,martl004
ANA201704080,76,K,zunim001
ANA201704090,0,HBP,seguj002
ANA201704090,8,BB,troum001
ANA201704090,13,HR,simma001
ANA201704090,13,H,simma001
ANA201704090,13,R,simma001
ANA201704090,14,K,cronc002
ANA201704090,17,1B,ruizc001
ANA201704090,17,H,ruizc001
ANA201704090,19,1B,seguj002
ANA201704090,19,H,seguj002
ANA201704090,20,K,hanim001
ANA201704090,21,HR,canor001
ANA201704090,21,H,canor001
ANA201704090,21,R,canor001
ANA201704090,25,BB,calhk001
ANA201704090,26,K,troum001
ANA201704090,29,1B,martl004
ANA201704090,29,H,martl004
ANA201704090,32,BB,simma001
ANA201704090,33,GDP,cronc002
ANA201704090,35,BB,mottt001
ANA201704090,37,HBP,hanim001
ANA201704090,38,2B,canor001
ANA201704090,38,H,canor001
ANA201704090,39,BB,cruzn002
ANA201704090,41,SF,seagk001
ANA201704090,48,K,mottt001
ANA201704090,50,1B,calhk001
ANA201704090,50,H,calhk001
ANA201704090,54,K,seguj002
ANA201704090,55,HR,hanim001
ANA201704090,55,H,hanim001
ANA201704090,55,R,hanim001
ANA201704090,60,1B,cronc002
ANA201704090,60,H,cronc002
ANA201704090,61,2B,reveb001
ANA201704090,61,H,reveb001
ANA201704090,62,K,espid001
ANA201704090,64,1B,martj007
ANA201704090,64,H,martj007
ANA201704090,70,2B,ruizc001
ANA201704090,70,H,ruizc001
ANA201704090,71,K,mottt001
ANA201704090,73,1B,escoy001
ANA201704090,73,H,escoy001
ANA201704090,74,GDP,calhk001
ANA201704090,76,K,troum001
ANA201704090,79,K,seguj002
ANA201704090,83,HR,pujoa001
ANA201704090,83,H,pujoa001
