game_id,var,value
ANA201704070,visteam,SEA
ANA201704070,hometeam,ANA
ANA201704070,site,ANA01
ANA201704070,date,2017/04/07
ANA201704070,number,0
ANA201704070,starttime,7:08PM
ANA201704070,daynight,night
ANA201704070,usedh,true
ANA201704070,umphome,segac901
ANA201704070,ump1b,emmep901
ANA201704070,ump2b,onorb901
ANA201704070,ump3b,wolcq901
ANA201704070,howscored,park
ANA201704070,pitches,pitches
ANA201704070,oscorer,munse701
ANA201704070,temp,65
ANA201704070,winddir,torf
ANA201704070,windspeed,7
ANA201704070,fieldcond,unknown
ANA201704070,precip,unknown
ANA201704070,sky,cloudy
ANA201704070,timeofgame,176
ANA201704070,attendance,43911
ANA201704070,wp,chavj001
ANA201704070,lp,gally001
ANA201704070,save,
ANA201704070,hometeam_score,5
ANA201704070,awayteam_score,1
ANA201704080,visteam,SEA
ANA201704080,hometeam,ANA
ANA201704080,site,ANA01
ANA201704080,date,2017/04/08
ANA201704080,number,0
ANA201704080,starttime,7:18PM
ANA201704080,daynight,night
ANA201704080,usedh,true
ANA201704080,umphome,timmt901
ANA201704080,ump1b,wolfj901
ANA201704080,ump2b,reybd901
ANA201704080,ump3b,gibsg901
ANA201704080,howscored,park
ANA201704080,pitches,pitches
ANA201704080,oscorer,munse701
ANA201704080,temp,63
ANA201704080,winddir,torf
ANA201704080,windspeed,9
ANA201704080,fieldcond,unknown
ANA201704080,precip,unknown
ANA201704080,sky,sunny
ANA201704080,timeofgame,185
ANA201704080,attendance,42668
ANA201704080,wp,ramij002
ANA201704080,lp,scrie001
ANA201704080,save,bedrc001
ANA201704080,hometeam_score,5
ANA201704080,awayteam_score,4
ANA201704090,visteam,SEA
ANA201704090,hometeam,ANA
ANA201704090,site,ANA01
ANA201704090,date,2017/04/09
ANA201704090,number,0
ANA201704090,starttime,12:38PM
ANA201704090,daynight,day
ANA201704090,usedh,true
ANA201704090,umphome,wolfj901
ANA201704090,ump1b,reybd901
ANA201704090,ump2b,gibsg901
ANA201704090,ump3b,timmt901
ANA201704090,howscored,park
ANA201704090,pitches,pitches
ANA201704090,oscorer,munse701
ANA201704090,temp,66
ANA201704090,winddir,torf
ANA201704090,windspeed,7
ANA201704090,fieldcond,unknown
ANA201704090,precip,unknown
ANA201704090,sky,cloudy
ANA201704090,timeofgame,207
ANA201704090,attendance,37175
ANA201704090,wp,baila001
ANA201704090,lp,diaze006
ANA201704090,save,
ANA201704090,hometeam_score,3
ANA201704090,awayteam_score,9
ANA201704110,visteam,TEX
ANA201704110,hometeam,ANA
ANA201704110,site,ANA01
ANA201704110,date,2017/04/11
ANA201704110,number,0
ANA201704110,starttime,7:08PM
ANA201704110,daynight,night
ANA201704110,usedh,true
ANA201704110,umphome,barrs901
ANA201704110,ump1b,sches901
ANA201704110,ump2b,emmep901
ANA201704110,ump3b,onorb901
ANA201704110,howscored,park
ANA201704110,pitches,pitches
ANA201704110,oscorer,munse701
ANA201704110,temp,69
ANA201704110,winddir,tocf
ANA201704110,windspeed,7
ANA201704110,fieldcond,unknown
ANA201704110,precip,unknown
ANA201704110,sky,sunny
ANA201704110,timeofgame,213
ANA201704110,attendance,34044
ANA201704110,wp,bedrc001
ANA201704110,lp,jeffj001
ANA201704110,save,
ANA201704110,hometeam_score,5
ANA201704110,awayteam_score,5
ANA201704120,visteam,TEX
ANA201704120,hometeam,ANA
ANA201704120,site,ANA01
ANA201704120,date,2017/04/12
ANA201704120,number,0
ANA201704120,starttime,7:07PM
ANA201704120,daynight,night
ANA201704120,usedh,true
ANA201704120,umphome,sches901
ANA201704120,ump1b,emmep901
ANA201704120,ump2b,onorb901
ANA201704120,ump3b,barrs901
ANA201704120,howscored,park
ANA201704120,pitches,pitches
ANA201704120,oscorer,franm701
ANA201704120,temp,67
ANA201704120,winddir,torf
ANA201704120,windspeed,4
ANA201704120,fieldcond,unknown
ANA201704120,precip,unknown
ANA201704120,sky,cloudy
ANA201704120,timeofgame,179
ANA201704120,attendance,34599
ANA201704120,wp,grifa002
ANA201704120,lp,chavj001
ANA201704120,save,leclj001
ANA201704120,hometeam_score,3
ANA201704120,awayteam_score,8
ANA201704130,visteam,TEX
ANA201704130,hometeam,ANA
ANA201704130,site,ANA01
ANA201704130,date,2017/04/13
ANA201704130,number,0
ANA201704130,starttime,12:38PM
ANA201704130,daynight,day
ANA201704130,usedh,true
ANA201704130,umphome,emmep901
ANA201704130,ump1b,onorb901
ANA201704130,ump2b,barrs901
ANA201704130,ump3b,sches901
ANA201704130,howscored,park
ANA201704130,pitches,pitches
ANA201704130,oscorer,munse701
ANA201704130,temp,70
ANA201704130,winddir,rtol
ANA201704130,windspeed,9
ANA201704130,fieldcond,unknown
ANA201704130,precip,unknown
ANA201704130,sky,unknown
ANA201704130,timeofgame,194
ANA201704130,attendance,30255
ANA201704130,wp,darvy001
ANA201704130,lp,nolar001
ANA201704130,save,
ANA201704130,hometeam_score,0
ANA201704130,awayteam_score,8
ANA201704210,visteam,TOR
ANA201704210,hometeam,ANA
ANA201704210,site,ANA01
ANA201704210,date,2017/04/21
ANA201704210,number,0
ANA201704210,starttime,7:09PM
ANA201704210,daynight,night
ANA201704210,usedh,true
ANA201704210,umphome,fairc901
ANA201704210,ump1b,rackd901
ANA201704210,ump2b,dejer901
ANA201704210,ump3b,marqa901
ANA201704210,howscored,park
ANA201704210,pitches,pitches
ANA201704210,oscorer,munse701
ANA201704210,temp,85
ANA201704210,winddir,rtol
ANA201704210,windspeed,5
ANA201704210,fieldcond,unknown
ANA201704210,precip,unknown
ANA201704210,sky,sunny
ANA201704210,timeofgame,336
ANA201704210,attendance,40176
ANA201704210,wp,teper001
ANA201704210,lp,chavj001
ANA201704210,save,biagj001
ANA201704210,hometeam_score,5
ANA201704210,awayteam_score,8
ANA201704220,visteam,TOR
ANA201704220,hometeam,ANA
ANA201704220,site,ANA01
ANA201704220,date,2017/04/22
ANA201704220,number,0
ANA201704220,starttime,6:08PM
ANA201704220,daynight,night
ANA201704220,usedh,true
ANA201704220,umphome,rackd901
ANA201704220,ump1b,dejer901
ANA201704220,ump2b,marqa901
ANA201704220,ump3b,fairc901
ANA201704220,howscored,park
ANA201704220,pitches,pitches
ANA201704220,oscorer,franm701
ANA201704220,temp,85
ANA201704220,winddir,tocf
ANA201704220,windspeed,7
ANA201704220,fieldcond,unknown
ANA201704220,precip,unknown
ANA201704220,sky,sunny
ANA201704220,timeofgame,155
ANA201704220,attendance,41345
ANA201704220,wp,skagt001
ANA201704220,lp,lawrc001
ANA201704220,save,norrb001
ANA201704220,hometeam_score,5
ANA201704220,awayteam_score,3
ANA201704230,visteam,TOR
ANA201704230,hometeam,ANA
ANA201704230,site,ANA01
ANA201704230,date,2017/04/23
ANA201704230,number,0
ANA201704230,starttime,12:39PM
ANA201704230,daynight,day
ANA201704230,usedh,true
ANA201704230,umphome,dejer901
ANA201704230,ump1b,marqa901
ANA201704230,ump2b,fairc901
ANA201704230,ump3b,rackd901
ANA201704230,howscored,park
ANA201704230,pitches,pitches
ANA201704230,oscorer,munse701
ANA201704230,temp,78
ANA201704230,winddir,tocf
ANA201704230,windspeed,6
ANA201704230,fieldcond,unknown
ANA201704230,precip,unknown
ANA201704230,sky,sunny
ANA201704230,timeofgame,171
ANA201704230,attendance,35034
ANA201704230,wp,strom001
ANA201704230,lp,guerd001
ANA201704230,save,
ANA201704230,hometeam_score,1
ANA201704230,awayteam_score,6
ANA201704240,visteam,TOR
ANA201704240,hometeam,ANA
ANA201704240,site,ANA01
ANA201704240,date,2017/04/24
ANA201704240,number,0
ANA201704240,starttime,7:09PM
ANA201704240,daynight,night
ANA201704240,usedh,true
ANA201704240,umphome,basnt901
ANA201704240,ump1b,muchm901
ANA201704240,ump2b,laynj901
ANA201704240,ump3b,hudsm901
ANA201704240,howscored,park
ANA201704240,pitches,pitches
ANA201704240,oscorer,munse701
ANA201704240,temp,66
ANA201704240,winddir,tocf
ANA201704240,windspeed,5
ANA201704240,fieldcond,unknown
ANA201704240,precip,unknown
ANA201704240,sky,cloudy
ANA201704240,timeofgame,182
ANA201704240,attendance,25304
ANA201704240,wp,chavj001
ANA201704240,lp,lirif001
ANA201704240,save,norrb001
ANA201704240,hometeam_score,2
ANA201704240,awayteam_score,1
ANA201704250,visteam,OAK
ANA201704250,hometeam,ANA
ANA201704250,site,ANA01
ANA201704250,date,2017/04/25
ANA201704250,number,0
ANA201704250,starttime,7:09PM
ANA201704250,daynight,night
ANA201704250,usedh,true
ANA201704250,umphome,muchm901
ANA201704250,ump1b,laynj901
ANA201704250,ump2b,hudsm901
ANA201704250,ump3b,basnt901
ANA201704250,howscored,park
ANA201704250,pitches,pitches
ANA201704250,oscorer,munse701
ANA201704250,temp,70
ANA201704250,winddir,rtol
ANA201704250,windspeed,5
ANA201704250,fieldcond,unknown
ANA201704250,precip,unknown
ANA201704250,sky,unknown
ANA201704250,timeofgame,192
ANA201704250,attendance,30124
ANA201704250,wp,pounb001
ANA201704250,lp,madsr001
ANA201704250,save,
ANA201704250,hometeam_score,1
ANA201704250,awayteam_score,1
ANA201704260,visteam,OAK
ANA201704260,hometeam,ANA
ANA201704260,site,ANA01
ANA201704260,date,2017/04/26
ANA201704260,number,0
ANA201704260,starttime,7:08PM
ANA201704260,daynight,night
ANA201704260,usedh,true
ANA201704260,umphome,laynj901
ANA201704260,ump1b,hudsm901
ANA201704260,ump2b,basnt901
ANA201704260,ump3b,muchm901
ANA201704260,howscored,park
ANA201704260,pitches,pitches
ANA201704260,oscorer,johnc701
ANA201704260,temp,69
ANA201704260,winddir,tocf
ANA201704260,windspeed,5
ANA201704260,fieldcond,unknown
ANA201704260,precip,unknown
ANA201704260,sky,unknown
ANA201704260,timeofgame,210
ANA201704260,attendance,30248
ANA201704260,wp,shoem001
ANA201704260,lp,manas001
ANA201704260,save,norrb001
ANA201704260,hometeam_score,8
ANA201704260,awayteam_score,5
ANA201704270,visteam,OAK
ANA201704270,hometeam,ANA
ANA201704270,site,ANA01
ANA201704270,date,2017/04/27
ANA201704270,number,0
ANA201704270,starttime,7:07PM
ANA201704270,daynight,night
ANA201704270,usedh,true
ANA201704270,umphome,hudsm901
ANA201704270,ump1b,basnt901
ANA201704270,ump2b,muchm901
ANA201704270,ump3b,laynj901
ANA201704270,howscored,park
ANA201704270,pitches,pitches
ANA201704270,oscorer,munse701
ANA201704270,temp,75
ANA201704270,winddir,tocf
