1,10,2,3,4,5,6,7,8,9,game_id,home_away
chavj001,pujoa001,maldm001,cronc002,espid001,escoy001,simma001,maybc001,troum001,calhk001,ANA201704070,home
gally001,cruzn002,zunim001,valed001,canor001,seagk001,seguj002,hereg002,dysoj001,hanim001,ANA201704070,away
nolar001,pujoa001,maldm001,martj007,espid001,escoy001,simma001,maybc001,troum001,calhk001,ANA201704080,home
hernf002,cruzn002,zunim001,valed001,canor001,seagk001,seguj002,dysoj001,martl004,hanim001,ANA201704080,away
shoem001,pujoa001,perec003,cronc002,espid001,escoy001,simma001,reveb001,troum001,calhk001,ANA201704090,home
iwakh001,cruzn002,ruizc001,valed001,canor001,seagk001,seguj002,mottt001,martl004,hanim001,ANA201704090,away
skagt001,pujoa001,maldm001,martj007,espid001,escoy001,simma001,maybc001,troum001,calhk001,ANA201704110,home
hamec001,choos001,lucrj001,napom001,odorr001,gallj002,andre001,rua-r001,gomec002,mazan001,ANA201704110,away
chavj001,pujoa001,maldm001,cronc002,espid001,escoy001,simma001,reveb001,troum001,calhk001,ANA201704120,home
grifa002,choos001,lucrj001,napom001,odorr001,gallj002,andre001,profj001,gomec002,mazan001,ANA201704120,away
nolar001,pujoa001,perec003,martj007,espid001,escoy001,simma001,maybc001,troum001,calhk001,ANA201704130,home
darvy001,choos001,chirr001,napom001,odorr001,gallj002,andre001,profj001,gomec002,mazan001,ANA201704130,away
meyea001,pujoa001,maldm001,cronc002,espid001,escoy001,simma001,maybc001,troum001,calhk001,ANA201704210,home
latom001,morak001,martr004,smoaj001,goinr001,coghc001,tulot001,carre001,pillk001,bautj002,ANA201704210,away
skagt001,pujoa001,gratj001,cronc002,espid001,escoy001,simma001,maybc001,troum001,calhk001,ANA201704220,home
lawrc001,morak001,saltj001,smoaj001,travd001,barnd001,goinr001,pears001,pillk001,bautj002,ANA201704220,away
wrigd003,pujoa001,maldm001,cronc002,pennc001,martj007,simma001,reveb001,troum001,calhk001,ANA201704230,home
strom001,morak001,martr004,smoaj001,travd001,coghc001,goinr001,carre001,pillk001,bautj002,ANA201704230,away
