game_id,order,stat,bfrom,bto,player_id
ANA201704070,3,SB,1,2,seguj002
ANA201704070,7,R,3,H,escoy001
ANA201704070,24,R,3,H,maldm001
ANA201704070,39,PO,1,1,troum001
ANA201704070,45,R,3,H,hanim001
ANA201704070,48,R,B,H,maybc001
ANA201704070,60,R,1,H,escoy001
ANA201704070,60,R,B,H,calhk001
ANA201704070,71,SB,1,2,simma001
ANA201704070,77,DI,1,2,valed001
ANA201704080,1,R,1,H,seguj002
ANA201704080,1,R,B,H,hanim001
ANA201704080,15,R,3,H,pujoa001
ANA201704080,19,PO,1,3,seguj002
ANA201704080,22,R,3,H,escoy001
ANA201704080,33,PO,1,2,maldm001
ANA201704080,39,R,B,H,escoy001
ANA201704080,55,R,3,H,seagk001
ANA201704080,60,R,1,H,escoy001
ANA201704080,60,R,B,H,troum001
ANA201704080,67,R,3,H,seguj002
ANA201704090,2,SB,1,2,seguj002
ANA201704090,4,R,3,H,seguj002
ANA201704090,13,R,B,H,simma001
ANA201704090,21,R,2,H,ruizc001
ANA201704090,21,R,1,H,seguj002
ANA201704090,21,R,B,H,canor001
ANA201704090,30,CS,1,2,martl004
ANA201704090,38,R,3,H,mottt001
ANA201704090,38,R(UR),2,H,seguj002
ANA201704090,41,R,3,H,hanim001
ANA201704090,55,R,B,H,hanim001
ANA201704090,64,R,3,H,cronc002
ANA201704090,64,R,2,H,reveb001
ANA201704090,64,PO,B,2,martj007
ANA201704090,70,R(UR),2,H,valed001
ANA201704090,83,R,B,H,pujoa001
ANA201704090,88,R,3,H,pennc001
ANA201704090,90,R,3,H,cronc002
ANA201704090,90,R,2,H,reveb001
ANA201704090,94,R,3,H,escoy001
ANA201704090,94,R,2,H,calhk001
ANA201704090,95,R,3,H,troum001
ANA201704110,3,R,3,H,andre001
ANA201704110,8,CS,2,3,escoy001
ANA201704110,21,R,B,H,andre001
ANA201704110,25,R,2,H,mazan001
ANA201704110,25,R,1,H,odorr001
ANA201704110,25,R,B,H,lucrj001
ANA201704110,59,R,B,H,martj007
ANA201704110,71,R,2,H,troum001
ANA201704110,78,R,B,H,espid001
ANA201704110,83,R,2,H,escoy001
ANA201704110,84,R,2,H,troum001
ANA201704110,92,CS,1,2,lucrj001
ANA201704110,98,R,3,H,
